排名,书名,作者,类型,进度,字数,积分,标签,时间,简介
175,在冷漠的他怀里撒个娇,春风榴火,原创-言情-近代现代-爱情,完结,449325,7282574336,"['花季雨季', '重生', '甜文', '逆袭', '正剧']",2019-03-14,【实体书已出，pdd or天猫 搜《在冷漠的他怀里撒个娇》】重来一次，寂白不想再给伪善的白血病姐姐当“备用血库”，她只想过好自己的生活。但是寂白却独独忽视了那个可怕的少年。曾经，贫血的她从医院逃离，走投无路，晕倒在街上。他将她抱了回去，悉心照顾，呵护，疼进了骨子里。无数个长夜里，他亲吻她脊椎上那难看的抽血孔，甚至在她死后，发疯闯进殡仪馆，夺走她冷冰冰的尸体。回到十六岁，寂白好像没有那么怕他了，当少年站在阴暗的角落里，默默地注视着她的时候，寂白回头对他甜甜地微笑。“只要你不要凶我，我就和你当好朋友。”少年听着女孩的真诚的告诫，低头看着她瓷白的面容，冷笑——“谁要和你当好朋友。”他只想把她揉进怀里。**重生回来，寂白很想好好报答谢随，改变他崎岖坎坷的命运可那个暴躁的少年好像没把她的告诫放在心上，直到那天，谢随将她拦在教室里，他紧紧攥着她的手，身体滚烫，嘴角扯出一抹邪气横生的笑——“想让老子听话？那你乖一点。”冷漠少年vs乖乖女。轻重生，无粗大金手指，校园日常———————————————
176,异界游戏制作人,蝶之灵,原创-纯爱-幻想未来-剧情,完结,1228390,7280389120,"['强强', '幻想空间', '情有独钟', '游戏网游', '爽文', '轻松']",2023-10-30,【全文完，福利番外即将完结】【求五星好评哦，爱你们！】-游戏策划谢云帆穿越到异世界，成了一位落魄小少爷，父母车祸双亡，兄长自杀未遂，公司濒临倒闭，开局拿到一手烂牌。这个时代最受欢迎的游戏《星空漫步》《机甲学徒》《丧尸围城》，全是机甲末日风，人类不是在灭绝，就是在灭绝的路上。谢云帆：“我五千年华夏文明呢？游戏做起来！”*单机游戏《地府迷宫》，逼真的十八层地狱，各位玩家想要体验一下吗？解密游戏《狄仁杰探案》，在线解密，人人都是小侦探，凶手到底是谁，你怎么看？音游《乐魂》，古筝、琵琶、二胡，民乐齐上阵，流传千年的古曲，高山流水遇知音的音游，绝对是休闲放松的好去处。你们玩废土风的末日机械城？我们来古风基建，苏州园林、江南水乡、大唐不夜城！换装游戏内卷严重？不如试试汉服换装吧，各个朝代的美丽汉服，也能在异世界发扬光大。回到古代，跟帅哥们谈谈恋爱。女孩子们，老公养起来，抽卡抽起来～一把刀，一柄剑，一个人的江湖。武侠战斗，拳拳到肉，轻功水上漂，各种武林秘籍，给你带来不一样的江湖体验。成为顶级厨师，八大菜系，模拟经营，你的餐厅今天赔钱了吗？孙子兵法、三十六计，热血国战沙盘游戏，交给玩家们合纵连横。降妖除魔，西天取经，九九八十一难，看谁先通关？修仙学院，御剑飞行，仙魔大战比机甲对轰还要酷炫！*迷宫、解密、国战、乙女、经营、武侠、修仙……不知不觉，谢云帆成了异世界最受欢迎的游戏制作人。“谢总做策划的游戏可以无脑入坑！”“快开商城，我恨不能给这游戏氪爆！”“信女愿暴瘦十斤，只求抽一张我老公的五星卡！”“副本队来个奶妈4=1”“今天你飞升了吗？我还卡在渡劫任务。”——1、游戏制作爽文，在异世界做精品游戏，弘扬华夏传统文化。本文为常见的异世界“文化遗失”爽文世界观设定，不接受此类设定的可绕道，不要杠世界观，鞠躬感谢。2、本文游戏均为作者原创，【排雷】主角的职业是游戏策划，各种类型的游戏都会尝试，如迷宫、音乐、换装、修仙、武侠、美食、乙女等，第六卷【千年之恋】是乙游，总字数5万，全文120万字以上，乙游占比不到5%，不喜欢可以跳订哦。3、脑洞向事业文，感情线较少。CP骆航，双箭头互宠，结局HE。4、谢谢宝宝们支持。坑品保证，另有大量完结文见专栏。
177,穿成反派的我靠沙雕苟活,马户子君,原创-纯爱-近代现代-爱情,完结,317544,7259747328,"['豪门世家', '近水楼台', '甜文', '穿书', '轻松', '沙雕']",2020-09-17,■同名广播剧@漫播app 已完结■实体出版名《我靠捧哏翻身》各大平台有售更多进度@总攻马户子_lvz 时不时掉落各类抽奖活动，比心～——每章作话都有小剧场，勿屏蔽——【本是想苟活，结果浪翻车】苏徊意穿成了一本豪门斗争小说里的同名恶毒养子。原身从小被苏家收养，美丽皮囊，蛇蝎心肠，三番五次作妖企图迫害兄长独吞家业。苏徊意穿过去时恰逢原身作妖。他从大哥苏持床底爬出来，抬头就和后者面面相觑。苏持目光沉沉：“你在这里做什么？”苏徊意腼腆低头：“……想给你一个惊喜。”*苏持作为苏家长子，既要打点家业，又要带好下面几个弟弟。本打算给那个居心叵测的养弟找点茬，好让他知道，苦海无边，回头……苏徊意：全靠浪.jpg苏持：……为求自保，苏徊意整天骚到没边，却没发现兄长看他的眼神逐渐变味了。——————————————————攻：嘲讽max  受：捧哏max  对呛相声的日常【食用指南】：＊不在一个户口本上，无违法关系！＊1v1，沙雕文，骚甜无虐，进来图个开心＊真香，追妻，（沙雕）修罗场＊无副cp，无狗血，非万人迷＊口味各异，弃文不必告知，非常感谢==========专栏预收==========《仙尊始乱终弃》by马户子君怀妄仙尊入红尘历劫，与一美貌散修结为道侣。九天雷劫将至，两人执手相望，约定生死不离。转眼雷劫就劈到仙尊脑子上。散修：……我怀疑他在说谎。*临远宗的怀妄仙尊历劫归来，大乘修士天下第一。掌门：“敢问天尊历的是什么劫？”怀妄冷如苍山雪：“本尊不记得了。”宗门上下大骇：天尊被雷劈失忆了！*临远宗对外宣布招收弟子，天下英才皆汇聚于此。负责招收的师叔一一问过：“你们来临远宗，为的是什么？”“为天下苍生。”“为修得正道。”“为千年后的飞升。”一道声音混迹其中：“为了前夫，他始乱终弃。”天下第一散修·兼竹从帷帽下抬起头，勾唇一笑，天姿绝丽。刹那间，满堂皆静。—————————————临远宗破例收了名散修，实力深不可测，美貌名动全宗门，听说还有个“前夫”，只是从没指认过。渐渐的，众人便当作是兼竹的一句玩笑话。直到有一天，掌门座下首席弟子红着脸问兼竹是否有道侣，话音未尽就见天际一道白光落在两人跟前。怀妄仙尊盯着兼竹：“你要出轨？”兼竹面不改色：“你一个前任还管这么多？”怀妄：“……胡说什么。”＊第一仙尊攻x第一散修受，横扫天下夫夫。
178,我要这盛世美颜有何用,拉棉花糖的兔子,原创-纯爱-近代现代-轻小说,完结,200165,7221251072,"['三教九流', '娱乐圈', '古穿今', '爽文', '轻松']",2019-01-09,八十年前，齐涉江是一名撂地卖艺的相声艺人，八十年后，他借尸还魂在娱乐圈新人身上。得获新生，但重拾旧业的路也太不容易了吧。就这张脸，谁都不信他是说相声的，谁都不信他不靠脸吃饭。——他要这盛世美颜到底有何用？？.一个中短篇沙雕脑洞爽文，半架空，有捏造设定，没原型没原型没原型，不要代入任何现实。砖花随意，去留由君。
179,回到仙尊少年时[穿书],妾在山阳,原创-纯爱-架空历史-仙侠,完结,590282,7205277184,"['欢喜冤家', '仙侠修真', '穿书', '轻松']",2021-07-10,【第一册实体书6.1上市，出版名为《识卿》哦】言卿穿进一本狗血修真文里，成了人气最高的美强惨反派小时候。长大后的反派惊才绝艳，风华绝代；小时候的反派可怜巴巴，差点饿死在寒冬腊月。修真界危机四伏，为了生存，言卿只能发挥十八般武艺，上能装乖、下能卖惨，和身体里灵魂尚在的金枝玉叶小反派，从互相嫌弃到同生共死，靠坑蒙拐骗活了下来。后面得到机缘解绑，相看生厌的两人立刻分道扬镳。言卿死后，灵魂散尽以为能回到现世，却没想到重生在一个小宗门内，还成了书里恶毒刻薄、下场凄惨的炮灰？？？炮灰因爱慕反派强行嫁给他。只是反派表面霁月清风，骨子里却阴狠无情，除了主角受谁都不爱。炮灰痛不欲生病死床上时，身为他夫君的反派在院中冷漠抚琴。言卿一口水差点喷出来：好你个谢识衣，早知道你小子那么渣，当初我就该在黑水巷拿你身体天天夜壶喝水。*谢识衣曾跌下深渊，下跪、求饶、猪狗不如，丧失尊严只为一线生机。这样狼狈的模样被另一人看的清清楚楚。少年时敏感又骄傲，他们理念不同不断吵架。他在心中发誓总有一日会杀了他。只是等他真正消失，他却一个人南山峰静坐了很久。直到梅花散尽、雪霁云散，才沉默着握剑转身离去。从此，世上再也没有了黑水巷卑微如蝼蚁的谢识衣。只有忘情宗清冷无欲遥不可及的少年天才，谢应。ps：1、修为等级：炼气，筑基，金丹，元婴，大乘，洞虚，化神2、时间线开始在受死后一百年重生。受上辈子不知道自己是穿书。相识微末，双向暗恋。3、【开头几章试无厘头风格试岔了，别骂了孩子知错了（抱头痛哭），后面改回来了。我真的没有换人写呜呜呜呜。不过我换不换文风水平也就那样，别信他们说后面几章好看的话，真的别信，浮夸小学鸡文笔万年不变，酌情追哈。顺便，弃了也别说，我是无所谓但我怕我的读者看到心情不好。祝你万事顺意，天天开心ww】5、【重点】请不要发表些“为打脸而打脸”、“设定熟悉”等言论哦。无论是“魇”，还是“白潇潇”，还是“仙盟”，我都有我自己的设定。我有大纲，我也明确知道自己在写什么。我想写的东西就在我的立意里。具体可以看十一章作话。下本开。《失忆后多了的前男友》爸爸死后，妈妈再也忍受不住山里的生活，偷偷溜了出去，留下年仅五岁的叶笙活在大深山里，自力更生。有一天，一个看起来就像是招摇撞骗的骗子来到这个村。“小孩你爸呢？”“死了。”慢吞吞。“小孩你妈呢？”“跑了。”慢吞吞。老神棍眼一亮，“那以后你就跟我混了吧！我既能飞天遁地，又能飞花摘叶。还会轻功水上漂，胸口碎大石。我教你行走江湖之术，你伺候我吃喝咋样。”叶笙睁着漆黑湿润的眼：“哦。”叶笙以为老头是个骗子，但是没想到老神棍教的东西，居然都有用。老神棍以为叶笙是个呆子，但是没想到，就是这个男孩，颠覆了他行骗多年但是深入人心的价值观。【论一个江湖骗子遇到修真天才是种怎样的绝望】叶笙在山里修行到十六岁，妈妈回来了，嫁入豪门后的贵妇气质优雅捏着鼻子走到他面前，居高临下：“跟我走吧。”老骗子数着钞票，笑成傻狗：“哎哟笙笙，别见外，这可是你亲妈。来接你去享福的。别跟我客气。”叶笙觉得自己的记忆有个断层，情感也出了问题，对什么都提不上兴趣，困困的。来到豪门。疏远的母亲，刻薄的姐姐，恶毒的哥哥，势利的下人，一天到晚都没完没了，他只想睡觉。谢家收留他，是看中他的长相，打算把他当做礼物，用来讨好五十岁的一位总裁当玩物。结果派对上，油头满面的总裁被人推开甩在身后，旋梯上走下来一个优雅矜贵的少年来。日月星尘缄默无言，他走到叶笙面前，微微笑。京城神秘又强大的宁家少主挑起他的下巴，唇红齿白，嗓音慵懒带笑：“别来无恙啊，我的前男友。”叶笙慢吞吞抬起头——原来我五岁之前还有一个男友？那么劲爆的吗。今生前世，现代修真。上一世。青梅竹马是你，情窦初开是你失去记忆迟钝困倦的小可爱X 宠妻无度又苏又撩的大魔王＊世界微尘里，吾宁爱与憎。
180,全世界都在等我们分手,不是风动,原创-纯爱-近代现代-爱情,完结,542664,7198822400,"['豪门世家', '星际', '正剧']",2019-11-15,广播剧@浮声绘梦，猫耳FM已上线~    本文简体出版签约@磨铁文化，第一册已上市；繁体@威向         猫系盛世美颜清冷学霸受X酷哥哥禁欲超A科研总裁攻    林水程长得好，眼尾一粒红泪痣特别勾人。傅落银见他第一面，名字都没问就把人带回了家。别人都说傅二少一见钟情，只有傅落银知道，眼前人不需要名字，注定只能作为一个替身留在他身边。后来他慢慢想起，林水程也一直没有问他的名字。        【知道真相后攻眼泪掉下来】    路人1：你确定这个科研大牛顶级学霸神仙颜值上得厅堂下得厨房的小哥哥是……替身吗？建议看眼科。    发小2：什么？他是替身？太好了你不上心我就上了！嫂子求你康康我！！！    导师3：就你，想泡我的学生？呵呵呵呵呵    亲爹4：乖崽，咱们配不上人家，放过人家吧      从小人赢·富可敌国·冷酷精英攻：……     #全世界都想撬我墙角# #所有人都劝我们分手#     #可恶，他居然不记得我的生日# #他竟然还打错我名字# #他不爱我！#    减压练笔文，双替身。攻受都有前任感情经历，攻追妻火葬场，后期偏共同成长救赎。HE。    背景类不听话，现代架空同性可婚。    作者学渣，文内学术相关内容为查资料+听好友科普+架空构想，难以深究，不必认真。   预警：*极端攻控受控以及进来不站官配（本文攻受）慎入，谢谢。减压文嗑个CP写个快乐，攻受都我亲崽，评论太过分的会删除，不接受写作指导。
181,心眼,北南,原创-纯爱-近代现代-爱情,完结,370059,7174317056,"['都市', '情有独钟', '正剧']",2020-11-30,梁承：这世上有你不爱吃的东西么？乔苑林想了想：亏。然后不爱吃亏的乔苑林在梁承身上栽了最大的跟头。时隔多年，乔苑林在他爸二婚的酒席上再次见到梁承。这人居然成了他哥。乔父：以后你们就是兄弟了，好好处。梁承：……行。乔苑林：处你个头！年上，1v1，he。文中一切纯属虚构，设定扯淡。主角无血缘关系。
182,寒剑栖桃花,西子绪,原创-纯爱-古色古香-爱情,完结,556942,7155224576,"['天作之合', '打脸', '励志', '升级流', '正剧']",2019-05-11,林如翡是昆仑剑派的掌门的小儿子。他们派中的弟子，都是江湖上最锋利的剑刃，传说般的存在。只是林如翡这把剑有点问题，一跤摔下去，能在床上躺三天。就在林如翡思考自己还能不能抢救一下的时候，他却发现，自己身上，好像出现了一些……异样。上古大能攻X一步喘三口病弱受周三入v，谢谢大家的支持~
183,长风渡,墨书白,原创-言情-架空历史-爱情,完结,978111,7130861568,"['强强', '宫廷侯爵', '欢喜冤家', '天作之合', '正剧']",2019-03-20,【PS：编辑让我和你们说，实体书上下册都上了，记得买】（曾用名：嫁纨绔）柳玉茹为了嫁给一个好夫婿，当了十五年的模范闺秀，却在订婚前夕，被逼嫁给了名满扬州的纨绔顾九思。嫁了这么一人，算是毁了这辈子，尤其是嫁过去之后才知道，这人也是被逼娶的她。柳玉茹心死如灰，把自己关在房间里三天后，她悟了。嫁了这样的纨绔，还当什么闺秀。于是成婚第三天，这位出了名温婉的闺秀抖着手、提着刀、用尽毕生勇气上了青楼，同烂醉如泥的顾九思说了一句——起来。之后顾九思一生大起大落，从落魄纨绔到官居一品，都是这女人站在他身边，用娇弱又单薄的身子扶着他，同他说：“起来。”于是哪怕他被人碎骨削肉，也要从泥泞中挣扎而起，咬牙背起她，走过这一生。而对于柳玉茹而言，前十五年，她以为活着是为了找个好男人。直到遇见顾九思，她才明白，一个好的男人会让你知道，你活着，你只是为了你自己。——愿以此身血肉遮风挡雨，护她衣裙无尘，鬓角无霜。#愿我如长风，渡君行万里#下本古言预收《沧澜道》：姜吟秋十九岁前，是名满江南的杏林千金她有着温和有礼的未婚夫江少言，有宽厚仁爱的父母，人生一眼到头，满满都是安稳。直到十九岁那年，官兵闯入她家府邸，满门男丁抄斩，女子流放，她在牢狱中苦等唯一的希望，想等着江少言为她沉冤昭雪，救她于水火可等啊等，她只等来了一把匕首，一包毒药江少言告诉她，边境长路漫漫，让她记得为他守贞。于是她拿着那把匕首，在踏出大狱前一刻，回了头。为了复仇，她毁了自己的脸，顶替死囚，一路浴血厮杀，以死囚特赦的身份进入监察司拜见长官那日，正是她的替身“姜吟秋”于流放途中遇险身亡的消息传回东都之时。那一夜，刚从民间寻回的三皇子江少言在自己府中立了亡妻的牌位而满身是血的姜吟秋跪在庭院，听见到那位出身六世高门望族、以人身被敬为鬼神的监察司使冰冷开口。“入了我监察司的门，你就是我谢恒的人。且报上名来。”姜吟秋一点一点合拢满是鲜血的手，抓紧地上令牌，抬起一双清亮如刀刃的眼。“卑职，柳惜娘。”“他于诸君为恶鬼，于我却是神佛。”
184,我真不是明君！,危火,原创-无CP-架空历史-剧情,完结,874436,7121126400,"['宫廷侯爵', '轻松', '正剧', '美强惨', '签到流', '迪化流']",2024-05-02,【全文完，九月底发放福利番外】文案:       上辈子靠着演戏绿茶扮可怜，被粉丝疯狂打投出道的曲渡边，一朝穿越，变成了大周朝母妃早逝的小皇子。不仅只剩下3天寿命，还绑定了个[疾病模拟器]延长寿命。增加寿命的方法有三：1.每日练武签到，增加寿命一天。2.体验疾病，书写论文提交系统，帮助系统存档升级，增加寿命三月。3.结交好友，使其好感度达到六十，增加寿命一年。曲渡边深谙一点，获得好感度，锦上添花不如雪中送炭。快冻死的小太监？捞！便宜的皇帝爹、尚书家不受宠的小公子、后宫寂寞无聊的诸位太妃、独苗苗侯府公子、敌国质子……曲渡边化身孝(？)子/挚友/陪聊/陪玩/知己，慢慢增长的寿命值叫他无比欣慰。[疾病模拟器]更是躲避恐怖夺嫡浪潮的神器！为了彻底退出夺嫡斗争，曲渡边不惜在战场上浪了一把，接回了和亲的长公主阿姐，然后将自己模拟成武功尽废、双目失明的废物。以后就可以美滋滋躺在这个可以护他一辈子的军功上，安安稳稳渡过一生了。这波赚翻！奈何——东厂厂公眼神阴鸷：“咱家的命是小殿下救回来的，给咱家查，到底是谁在战场上下的手！”新进状元面带病容：“我一生筹谋，只为了心中明主，明主既暗，我不愿授官。”如今镇北大将军的小侯爷：“皇权倾轧至此，殿下何必心存善念？”不问世事的养母：“我儿受此劫难，本宫若再不闻不问，堪为人母？！”后宫太妃们聚在慈宁宫，哀怨的红眼眶叫皇帝有苦难言。一时间，皇子们人人自危，京城谋算翻涌，人心惶惶。只想平安渡过的曲渡边：“……”救、救命啊！！     #他们都想让我登基，而我只想安稳活命:（#       “塞外寒飞雁，长歌曲渡边。”      封面画师@:渠文【请不要在评论区推荐其他文，也不要在其他太太评论区推荐本文，看见会删除】
185,演技派,睡芒,原创-纯爱-近代现代-爱情,完结,516077,7113627136,"['豪门世家', '娱乐圈', '重生', '甜文', '轻松']",2020-01-31,【同名实体书全网有售~】过气小明星庄钦回到了自己刚出道那年，那年他风华正茂，凭着颜值空降当红炸子鸡，风光无限。犹记得，这年他拒了一个穷酸剧组，是部同性片。这部戏成为男主李慕拿到影帝的跳板，后李慕又被爆出出身豪门，家里并不看好他混娱乐圈，只等他玩票失败了回家继承家业。庄钦有幸在红毯见过他，众星拱月，大约是有底气在，不跟人炒作，没闹过绯闻，洁身自好又爱挂一张冰山冷脸，堪称圈里一股清流——-上辈子他看过这部电影，被自己拒绝的角色并不出彩，本是第二个男主却因剧本改动沦为背景板，连暧昧戏都被删的一干二净！但没关系，给未来影帝搭戏作配，甚至抱大腿的机会千载难逢，庄钦拍板，这戏，他接定了！直到进组，他翻开没有改动的原始剧本。吻戏，吻戏，吻戏，吻戏……夭寿啦QAQ连载期间中午12点更新~本文有关表演的专有名词与解释大部分参考《演员的自我修养》。提前说明：人物三观不一定和您的三观一致，三观不合点X即可XD封面是朋友画的倾慕CP!-新文712开 《风流债》文案： 师祖闭死关前，给古遥留下了佛宗失传秘法欢喜禅。“若能与大乘期修士同修，十年结丹！百年化神！”可整个修真界只有两个大乘。一个是耄耄之年的魔道糟老头，性情阴毒，爱好是把人炼油点灯。另一个是上界顶级大宗的宗主容寂——修无情道的剑修，听闻比魔道老头子还凶残暴戾！古遥意外闯入容宗主的造化子世界，化形成小狐狸被失忆后在此渡劫的容宗主捡走。古遥冻坏了，见他要吃自己，可怜巴巴地呜咽求饶。“……罢了，今日我不杀生，你去那蒲团上睡觉。”百年弹指而过，醒来，现世只过了一年。惹的风流债追到上界来，古遥火速收拾跑路。不久，听闻容宗主出关，悬赏重宝捉一狐妖。古遥夹紧狐狸尾巴：悬赏什么？什么？你再说一遍？？百万灵石？！？！古遥：QAQ我自己送上门去可以领赏吗？？？
186,格格不入,巫哲,原创-纯爱-近代现代-爱情,完结,539314,7107941888,['正剧'],2015-03-26,第一次见到项西，他疑似碰瓷第二次见到项西，他正在碰瓷没过两天他居然碰到自己车跟前儿来了！缘分就是这么没谱，走哪儿哪儿能碰上他。这是一段由碰瓷开启的收拾与被收拾的正经故事。正经的。真的。年上。1V1。HE。封面感谢@二喜砸果叽！小线人大爱。 更新时间周一二三五六晚七点四十，其余时间看到更新可以不管，那是作者在修错字。4月16日入V，三更。不允许任何形式的转载和改编。
187,金牌教练（电竞）,蝶之灵,原创-纯爱-幻想未来-游戏,完结,972594,7080873472,"['强强', '情有独钟', '甜文', '爽文', 'ABO', '电竞']",2022-04-10,《金牌教练》实体书第二册将于12月28日晚上7点预售，喜欢收藏实体书的关注微博@晋江蝶之灵，谢谢大家！-《枪王》职业联赛中曾出现过一位传奇人物Wing，一手狙击枪百发百中，率领三流战队一路杀进职业联赛并拿下年度总冠军，成了史上最强黑马。然而，拿下冠军后，Wing神突然宣布退役。网友们纷纷猜测他退役的原因。没有人知道，他是个饱受“信息素紊乱症”困扰的Omega。.五年后，《枪王》世界大赛，华国队惨遭淘汰，国家队教练迫于压力当场辞职。Wing神江绍羽临危受命，回国接任国家队总教练。从队员的选拔，到工作组的招募，江绍羽亲力亲为，打破常规，对国家队进行彻底大洗牌。新一届国家队正式集训，助教们忧心忡忡：“队伍不好带啊！”江绍羽：“没关系，交给我来亲自管教。”于是，江教练开启日常毒舌模式——“国家队的选手，就这水平？”“这是在打比赛还是在梦游？”“你们是葫芦娃救爷爷吗？一个接一个排队送？”毒舌教练训人不带脏字，把一群国家队的队员骂得心态都崩了。某王牌大神：“紧急求助，1000字的检讨应该怎么写？”某顶流主播：“今天不直播，教练让我面壁思过。”某路人王：“我是谁？我在哪？我为什么要来国家队挨骂？”某Alpha少年：“被Omega骂哭是什么体验？哭着哭着就习惯了。”网友们：“？？？？”这一届国家队的画风好像哪里不对？——1、教练主角爽文。热血枪战，电竞群像。2、CP是裴封，师徒年下。毒舌高冷Omega师父受×忠犬小狼狗Alpha徒弟攻，感情线1V1，甜爽不虐，放心入。3、本文世界观、游戏内容、比赛模式纯属作者架空虚构，这里是ABO世界，没有现实原型，请勿带入现实哦，感谢！4、ABO电竞文《全能中单》已完结。文荒的小伙伴欢迎去作者专栏看看，有很多完结长篇。谢谢大家支持正版阅读，么么哒~
188,穿成阴鸷反派的联姻对象,马户子君,原创-纯爱-近代现代-爱情,完结,497036,7032838144,"['豪门世家', '甜文', '穿书', '爽文', '逆袭', '沙雕']",2022-04-13,—沙雕甜爽文—■同名广播剧已在@猫耳 上线■简体出版进度见@总攻马户子_lvz【作话有沙雕小剧场+伏笔、包袱回顾，勿屏蔽啦】《商界风云》讲述了司家如何在尔虞我诈中称霸商界。为了扳倒最大的死敌陆焕，司家假意联姻，塞了个家族里最听话的“小废物”当弃子。在作者的刻意降智下，庞大的陆家就因为这么个“小废物”被彻底击垮。陆焕车祸临死前蓦地意识觉醒，不甘的怨念让他重生回到了联姻前。这一次，陆焕盯着联姻函阴鸷一笑：好。*郁白含一不小心穿成了司家的“小废物”。新婚当夜，他第一次见到自己名义上的丈夫——不论身材长相，竟然都完美戳中他的点。郁白含安详躺平：爱了，快来疼我。下一刻，陆焕就掐着他的下巴语调缓缓：“我倒要看看，你还有多少……”郁白含换了个姿势：“朕不知道的小惊喜？”陆焕：“……”郁白含懂了，原来他老攻喜欢这种情趣。*陆焕第一次打破剧情，报复了司家。司家江山倒了大半，家族内斗，子嗣争权，一片腥风血雨，愁云惨淡。陆焕卸下了面具，两家彻底撕破了脸皮。陆家大宅中。陆焕坐在卧室的靠椅上，半张脸藏在阴影里，看戏般地望向郁白含：“有什么感想？”郁白含海豹鼓掌：“好！你若盛开，蝴蝶自来；你若精彩，天自安排！”陆焕：“……”————后来，剧情的确被打破了，像一匹脱缰的野狗，一去不回。人人都在等着司家的弃子被日益强盛的陆家丢出来，就连陆氏的下属都在数着日子，准备给那个“废物”卷铺盖。直到下属看见陆焕亲自夹着铺盖卷走进主卧。铺盖卷里还裹着郁白含，后者眼含期待：“再强势一点，陆焕！你是不是没吃饭！”“……”卧室门“砰”地关上！下属：？？？■画风被带跑的阴鸷大佬x没羞没臊沙雕受*爆笑甜宠沙雕文，1v1，he*上辈子攻受无感情线，双初恋*穿书背景悬浮架空，请勿代现实■高亮！【每章作话都有无缝衔接的沙雕小剧场*另外文中有很多隐喻、包袱、伏笔…都会在作话温馨提示，为了更好的阅读体验，建议勿屏蔽作话！比心】*有倒回去修文完善情节、细节的习惯，和盗文网有出入，感谢支持正版！【文案2021.12.13 vb截图，盗必究】————————专栏预收————————《命仙》by 马户子君高科技发达的现代，风水命格之说依旧在高楼小巷间盛行。总有人在顺风顺水间变故突生，或是遭遇莫名的蹊跷灾祸。叮！林宿打开手机：你有一笔新的订单。他按掉手机揣起本子悠悠出了门，视线所及，生辰八字在每个人的头顶整齐排布着。这三千世界中有一个职位，叫做命仙。一眼辨善伪，一笔改命盘。·装神弄鬼躺赢保送名额的学生，调换人生进入豪门的少爷，窃取气运以求星途璀璨的明星……他们阴邪用尽，凭借旁门左道夺来本不属于自己的人生。但没想过，命格归位不过命仙提笔一落。林宿翻着命格簿：让我看看又是谁在造作。*攻受双大佬，主角强强强！全程无虐，打脸爽文。*甜宠he，沙雕文
189,穿成短命白月光后，和反派HE了,青花燃,原创-言情-架空历史-奇幻,完结,648758,7016376832,"['情有独钟', '女配', '甜文', '穿书', '轻松', '白月光']",2019-10-24,【实体书名《白月光攻略大魔王》，各平台有售】   桑远远穿进一本古早玄幻虐恋小说里，成了男主那个红颜薄命的早逝白月光。男主爱她，男配们也爱她。女主因为长了一张酷似她的脸，被众男又爱又虐又踩，伤身又伤心。和男主的感情更是波折重重狗血不断，虐得死去活来，结局还能幸福HE。桑远远：“不好意思本人一不想死二受不得虐，所以我选择跟反派走。打扰，告辞。”反派长眸微眯，姿态慵懒，唇角笑意如春风般和煦——“我的身边……可是地狱呢。”她沉思三秒。“地狱有土吗？”“……有腐地。”“有水吗？”“……只有血。”他想看她惊惶失措，想等她尖叫逃离，不料女子呆滞三秒之后，双眼竟然隐隐放光——“正好试试新品种！”“……”他在最深沉的黑暗中苟延残喘，从来也没想到，竟有一个人，能把花草种满一片荒芜。木系治愈伪仙女X暴戾冷血大魔王#读者宝贝们千万千万不要在别的太太文下提我和我的文哈#超多完结文戳专栏——《女妖魔成年后超凶》萌啾x大魔王《男主醒醒你是女主的》恶毒女配被男主宠上天《这该死的修罗场》复仇少女x清冷仙尊《与黑暗神互换身体后》超级可爱的毛线团x傲娇黑暗神《偏执暴君今天病更重了》妖后x昏君《和离前夜，她变成了蘑菇》机智蘑菇x霸总道君《太子殿下，您才是替身啊》点击就看星际大男主疯狂自我攻略《她和白月光男神HE》社死小恶魔X温润大君子《被穿越者夺舍以后》小傻子X疯乌龟《反派剧透我一脸》疯批小太阳女主VS战力天花板街溜子男主
190,祝姑娘今天掉坑了没,我想吃肉,原创-无CP-架空历史-剧情,完结,3959531,7007343104,"['乔装改扮', '正剧']",2022-05-23,祝缨此人，我行我素、无法无天。细究起来，她少年时也只是个想过好小日子的小神棍罢了。生在一穷二白的神棍家，祝缨的开局是个hard模式。为了亲生女儿不被溺死，她亲娘张仙姑只能谎称生的是个儿子。作为村子里的外来户，祝家处境艰难，不幸神棍亲爹被卷入官司，又遇到同村的寡妇为了自保要招她做赘婿。神婆、寡妇抱团取暖，不想寡妇另有来历，两人被迫上京，从此开启了一段始料未及的旅程。繁华之下，处处是意想不到的大坑。我终于对无CP下手了^-^想到哪儿编到哪儿ps：我知道文名不咋地，我起名的本领就这个熊样，我放弃了。pps：原文名不太正面，改之。公告：本文稿6月13日周一入V
191,天才基本法,长洱,原创-言情-近代现代-爱情,完结,760938,6963070976,"['穿越时空', '励志', '正剧']",2017-08-02,别人都以为，林朝夕是天才。只有她自己知道，她是用多年数学竞赛的经验，回过头在“作弊”。直到有一天，男神静静地看着她***时空交叠，三次重返。——过去，可以改变你。1.重返三段过去，寻找自我的故事。放轻松看，这是段说走就走的旅行。2.学校、赛制半架空。3.随缘防盗。
